Testcase,Algorithm,Nodes,Edges,MaxMatching,RuntimeMs
cuplaj-0.in,Khun,20,24,9,0
cuplaj-0.in,Khun-Arb,20,24,9,0
cuplaj-0.in,Khun-Rnd,20,24,9,0
cuplaj-0.in,Dinic,20,24,9,0
cuplaj-0.in,Dinic-Scaling,20,24,9,0
cuplaj-0.in,Hopcroft-Karp,20,24,9,0
cuplaj-0.in,Hopcroft-Karp-Lin,20,24,9,0
cuplaj-1.in,Khun,18904,100000,8906,493
cuplaj-1.in,Khun-Arb,18904,100000,8906,1
cuplaj-1.in,Khun-Rnd,18904,100000,8906,1
cuplaj-1.in,Dinic,18904,100000,8906,6
cuplaj-1.in,Dinic-Scaling,18904,100000,8906,30
cuplaj-1.in,Hopcroft-Karp,18904,100000,8906,1
cuplaj-1.in,Hopcroft-Karp-Lin,18904,100000,8906,1
cuplaj-2.in,Khun,41,40,13,0
cuplaj-2.in,Khun-Arb,41,40,13,0
cuplaj-2.in,Khun-Rnd,41,40,13,0
cuplaj-2.in,Dinic,41,40,13,0
cuplaj-2.in,Dinic-Scaling,41,40,13,0
cuplaj-2.in,Hopcroft-Karp,41,40,13,0
cuplaj-2.in,Hopcroft-Karp-Lin,41,40,13,0
cuplaj-3.in,Khun,82,111,36,0
cuplaj-3.in,Khun-Arb,82,111,36,0
cuplaj-3.in,Khun-Rnd,82,111,36,0
cuplaj-3.in,Dinic,82,111,36,0
cuplaj-3.in,Dinic-Scaling,82,111,36,0
cuplaj-3.in,Hopcroft-Karp,82,111,36,0
cuplaj-3.in,Hopcroft-Karp-Lin,82,111,36,0
cuplaj-4.in,Khun,542,577,217,0
cuplaj-4.in,Khun-Arb,542,577,217,0
cuplaj-4.in,Khun-Rnd,542,577,217,0
cuplaj-4.in,Dinic,542,577,217,0
cuplaj-4.in,Dinic-Scaling,542,577,217,0
cuplaj-4.in,Hopcroft-Karp,542,577,217,0
cuplaj-4.in,Hopcroft-Karp-Lin,542,577,217,0
cuplaj-5.in,Khun,1076,2111,375,0
cuplaj-5.in,Khun-Arb,1076,2111,375,0
cuplaj-5.in,Khun-Rnd,1076,2111,375,0
cuplaj-5.in,Dinic,1076,2111,375,0
cuplaj-5.in,Dinic-Scaling,1076,2111,375,0
cuplaj-5.in,Hopcroft-Karp,1076,2111,375,0
cuplaj-5.in,Hopcroft-Karp-Lin,1076,2111,375,0
cuplaj-6.in,Khun,6053,10000,2782,8
cuplaj-6.in,Khun-Arb,6053,10000,2782,0
cuplaj-6.in,Khun-Rnd,6053,10000,2782,0
cuplaj-6.in,Dinic,6053,10000,2782,2
cuplaj-6.in,Dinic-Scaling,6053,10000,2782,3
cuplaj-6.in,Hopcroft-Karp,6053,10000,2782,0
cuplaj-6.in,Hopcroft-Karp-Lin,6053,10000,2782,0
cuplaj-7.in,Khun,8900,30000,4098,2
cuplaj-7.in,Khun-Arb,8900,30000,4098,0
cuplaj-7.in,Khun-Rnd,8900,30000,4098,0
cuplaj-7.in,Dinic,8900,30000,4098,1
cuplaj-7.in,Dinic-Scaling,8900,30000,4098,1
cuplaj-7.in,Hopcroft-Karp,8900,30000,4098,0
cuplaj-7.in,Hopcroft-Karp-Lin,8900,30000,4098,0
cuplaj-8.in,Khun,11462,20000,5477,17
cuplaj-8.in,Khun-Arb,11462,20000,5477,1
cuplaj-8.in,Khun-Rnd,11462,20000,5477,1
cuplaj-8.in,Dinic,11462,20000,5477,8
cuplaj-8.in,Dinic-Scaling,11462,20000,5477,11
cuplaj-8.in,Hopcroft-Karp,11462,20000,5477,1
cuplaj-8.in,Hopcroft-Karp-Lin,11462,20000,5477,0
cuplaj-9.in,Khun,17462,42000,7647,367
cuplaj-9.in,Khun-Arb,17462,42000,7647,1
cuplaj-9.in,Khun-Rnd,17462,42000,7647,1
cuplaj-9.in,Dinic,17462,42000,7647,5
cuplaj-9.in,Dinic-Scaling,17462,42000,7647,20
cuplaj-9.in,Hopcroft-Karp,17462,42000,7647,1
cuplaj-9.in,Hopcroft-Karp-Lin,17462,42000,7647,0
cycles-0.in,Khun,20000,20000,10000,1
cycles-0.in,Khun-Arb,20000,20000,10000,0
cycles-0.in,Khun-Rnd,20000,20000,10000,0
cycles-0.in,Dinic,20000,20000,10000,27
cycles-0.in,Dinic-Scaling,20000,20000,10000,27
cycles-0.in,Hopcroft-Karp,20000,20000,10000,1
cycles-0.in,Hopcroft-Karp-Lin,20000,20000,10000,0
cycles-1.in,Khun,20000,20000,10000,0
cycles-1.in,Khun-Arb,20000,20000,10000,0
cycles-1.in,Khun-Rnd,20000,20000,10000,0
cycles-1.in,Dinic,20000,20000,10000,27
cycles-1.in,Dinic-Scaling,20000,20000,10000,29
cycles-1.in,Hopcroft-Karp,20000,20000,10000,1
cycles-1.in,Hopcroft-Karp-Lin,20000,20000,10000,0
cycles-2.in,Khun,100000,100000,50000,10
cycles-2.in,Khun-Arb,100000,100000,50000,3
cycles-2.in,Khun-Rnd,100000,100000,50000,4
cycles-2.in,Dinic,100000,100000,50000,450
cycles-2.in,Dinic-Scaling,100000,100000,50000,421
cycles-2.in,Hopcroft-Karp,100000,100000,50000,8
cycles-2.in,Hopcroft-Karp-Lin,100000,100000,50000,3
cycles-3.in,Khun,100000,100000,50000,9
cycles-3.in,Khun-Arb,100000,100000,50000,3
cycles-3.in,Khun-Rnd,100000,100000,50000,4
cycles-3.in,Dinic,100000,100000,50000,365
cycles-3.in,Dinic-Scaling,100000,100000,50000,366
cycles-3.in,Hopcroft-Karp,100000,100000,50000,8
cycles-3.in,Hopcroft-Karp-Lin,100000,100000,50000,2
cycles-4.in,Khun,200000,200000,100000,27
cycles-4.in,Khun-Arb,200000,200000,100000,8
cycles-4.in,Khun-Rnd,200000,200000,100000,8
cycles-4.in,Dinic,200000,200000,100000,1481
cycles-4.in,Dinic-Scaling,200000,200000,100000,1482
cycles-4.in,Hopcroft-Karp,200000,200000,100000,18
cycles-4.in,Hopcroft-Karp-Lin,200000,200000,100000,6
cycles-5.in,Khun,200000,200000,100000,24
cycles-5.in,Khun-Arb,200000,200000,100000,11
cycles-5.in,Khun-Rnd,200000,200000,100000,10
cycles-5.in,Dinic,200000,200000,100000,1558
cycles-5.in,Dinic-Scaling,200000,200000,100000,2338
cycles-5.in,Hopcroft-Karp,200000,200000,100000,24
cycles-5.in,Hopcroft-Karp-Lin,200000,200000,100000,7
cycles-6.in,Khun,400000,400000,200000,72
cycles-6.in,Khun-Arb,400000,400000,200000,21
cycles-6.in,Khun-Rnd,400000,400000,200000,24
cycles-6.in,Dinic,400000,400000,TLE,TLE
cycles-6.in,Dinic-Scaling,400000,400000,TLE,TLE
cycles-6.in,Hopcroft-Karp,400000,400000,200000,48
cycles-6.in,Hopcroft-Karp-Lin,400000,400000,200000,19
cycles-7.in,Khun,400000,400000,200000,76
cycles-7.in,Khun-Arb,400000,400000,200000,22
cycles-7.in,Khun-Rnd,400000,400000,200000,24
cycles-7.in,Dinic,400000,400000,TLE,TLE
cycles-7.in,Dinic-Scaling,400000,400000,TLE,TLE
cycles-7.in,Hopcroft-Karp,400000,400000,200000,49
cycles-7.in,Hopcroft-Karp-Lin,400000,400000,200000,19
khun-killer-0.in,Khun,200000,199999,100000,3872
khun-killer-0.in,Khun-Arb,200000,199999,TLE,TLE
khun-killer-0.in,Khun-Rnd,200000,199999,100000,3
khun-killer-0.in,Dinic,200000,199999,100000,28
khun-killer-0.in,Dinic-Scaling,200000,199999,100000,25
khun-killer-0.in,Hopcroft-Karp,200000,199999,100000,1
khun-killer-0.in,Hopcroft-Karp-Lin,200000,199999,100000,1
khun-killer-1.in,Khun,200000,199999,100000,3844
khun-killer-1.in,Khun-Arb,200000,199999,TLE,TLE
khun-killer-1.in,Khun-Rnd,200000,199999,100000,3
khun-killer-1.in,Dinic,200000,199999,100000,14
khun-killer-1.in,Dinic-Scaling,200000,199999,100000,16
khun-killer-1.in,Hopcroft-Karp,200000,199999,100000,1
khun-killer-1.in,Hopcroft-Karp-Lin,200000,199999,100000,1
khun-killer-2.in,Khun,200000,199999,100000,3843
khun-killer-2.in,Khun-Arb,200000,199999,TLE,TLE
khun-killer-2.in,Khun-Rnd,200000,199999,100000,3
khun-killer-2.in,Dinic,200000,199999,100000,16
khun-killer-2.in,Dinic-Scaling,200000,199999,100000,19
khun-killer-2.in,Hopcroft-Karp,200000,199999,100000,1
khun-killer-2.in,Hopcroft-Karp-Lin,200000,199999,100000,1
khun-killer-3.in,Khun,200000,199999,100000,3853
khun-killer-3.in,Khun-Arb,200000,199999,TLE,TLE
khun-killer-3.in,Khun-Rnd,200000,199999,100000,3
khun-killer-3.in,Dinic,200000,199999,100000,17
khun-killer-3.in,Dinic-Scaling,200000,199999,100000,18
khun-killer-3.in,Hopcroft-Karp,200000,199999,100000,1
khun-killer-3.in,Hopcroft-Karp-Lin,200000,199999,100000,1
khun-killer-4.in,Khun,200000,199999,100000,3807
khun-killer-4.in,Khun-Arb,200000,199999,TLE,TLE
khun-killer-4.in,Khun-Rnd,200000,199999,100000,3
khun-killer-4.in,Dinic,200000,199999,100000,14
khun-killer-4.in,Dinic-Scaling,200000,199999,100000,15
khun-killer-4.in,Hopcroft-Karp,200000,199999,100000,1
khun-killer-4.in,Hopcroft-Karp-Lin,200000,199999,100000,1
khun-killer-5.in,Khun,400000,399999,TLE,TLE
khun-killer-5.in,Khun-Arb,400000,399999,TLE,TLE
khun-killer-5.in,Khun-Rnd,400000,399999,200000,7
khun-killer-5.in,Dinic,400000,399999,200000,50
khun-killer-5.in,Dinic-Scaling,400000,399999,200000,57
khun-killer-5.in,Hopcroft-Karp,400000,399999,200000,3
khun-killer-5.in,Hopcroft-Karp-Lin,400000,399999,200000,3
khun-killer-6.in,Khun,400000,399999,TLE,TLE
khun-killer-6.in,Khun-Arb,400000,399999,TLE,TLE
khun-killer-6.in,Khun-Rnd,400000,399999,200000,7
khun-killer-6.in,Dinic,400000,399999,200000,54
khun-killer-6.in,Dinic-Scaling,400000,399999,200000,58
khun-killer-6.in,Hopcroft-Karp,400000,399999,200000,3
khun-killer-6.in,Hopcroft-Karp-Lin,400000,399999,200000,3
khun-killer-7.in,Khun,400000,399999,TLE,TLE
khun-killer-7.in,Khun-Arb,400000,399999,TLE,TLE
khun-killer-7.in,Khun-Rnd,400000,399999,200000,7
khun-killer-7.in,Dinic,400000,399999,200000,56
khun-killer-7.in,Dinic-Scaling,400000,399999,200000,59
khun-killer-7.in,Hopcroft-Karp,400000,399999,200000,3
khun-killer-7.in,Hopcroft-Karp-Lin,400000,399999,200000,3
khun-killer-8.in,Khun,400000,399999,TLE,TLE
khun-killer-8.in,Khun-Arb,400000,399999,TLE,TLE
khun-killer-8.in,Khun-Rnd,400000,399999,200000,7
khun-killer-8.in,Dinic,400000,399999,200000,71
khun-killer-8.in,Dinic-Scaling,400000,399999,200000,60
khun-killer-8.in,Hopcroft-Karp,400000,399999,200000,3
khun-killer-8.in,Hopcroft-Karp-Lin,400000,399999,200000,3
khun-killer-9.in,Khun,400000,399999,TLE,TLE
khun-killer-9.in,Khun-Arb,400000,399999,TLE,TLE
khun-killer-9.in,Khun-Rnd,400000,399999,200000,7
khun-killer-9.in,Dinic,400000,399999,200000,70
khun-killer-9.in,Dinic-Scaling,400000,399999,200000,71
khun-killer-9.in,Hopcroft-Karp,400000,399999,200000,4
khun-killer-9.in,Hopcroft-Karp-Lin,400000,399999,200000,3
large-0.in,Khun,74998,74995,37498,2
large-0.in,Khun-Arb,74998,74995,37498,0
large-0.in,Khun-Rnd,74998,74995,37498,1
large-0.in,Dinic,74998,74995,37498,3
large-0.in,Dinic-Scaling,74998,74995,37498,3
large-0.in,Hopcroft-Karp,74998,74995,37498,0
large-0.in,Hopcroft-Karp-Lin,74998,74995,37498,0
large-1.in,Khun,149998,149995,74998,7
large-1.in,Khun-Arb,149998,149995,74998,0
large-1.in,Khun-Rnd,149998,149995,74998,2
large-1.in,Dinic,149998,149995,74998,9
large-1.in,Dinic-Scaling,149998,149995,74998,10
large-1.in,Hopcroft-Karp,149998,149995,74998,0
large-1.in,Hopcroft-Karp-Lin,149998,149995,74998,0
large-2.in,Khun,199990,199987,99994,10
large-2.in,Khun-Arb,199990,199987,99994,1
large-2.in,Khun-Rnd,199990,199987,99994,3
large-2.in,Dinic,199990,199987,99994,20
large-2.in,Dinic-Scaling,199990,199987,99994,21
large-2.in,Hopcroft-Karp,199990,199987,99994,2
large-2.in,Hopcroft-Karp-Lin,199990,199987,99994,1
large-3.in,Khun,199990,199987,99994,4057
large-3.in,Khun-Arb,199990,199987,99994,0
large-3.in,Khun-Rnd,199990,199987,99994,3
large-3.in,Dinic,199990,199987,99994,11
large-3.in,Dinic-Scaling,199990,199987,99994,10
large-3.in,Hopcroft-Karp,199990,199987,99994,0
large-3.in,Hopcroft-Karp-Lin,199990,199987,99994,1
large-4.in,Khun,199990,199987,99994,10
large-4.in,Khun-Arb,199990,199987,99994,0
large-4.in,Khun-Rnd,199990,199987,99994,2
large-4.in,Dinic,199990,199987,99994,15
large-4.in,Dinic-Scaling,199990,199987,99994,15
large-4.in,Hopcroft-Karp,199990,199987,99994,0
large-4.in,Hopcroft-Karp-Lin,199990,199987,99994,1
large-5.in,Khun,74998,74995,37498,2
large-5.in,Khun-Arb,74998,74995,37498,0
large-5.in,Khun-Rnd,74998,74995,37498,0
large-5.in,Dinic,74998,74995,37498,4
large-5.in,Dinic-Scaling,74998,74995,37498,4
large-5.in,Hopcroft-Karp,74998,74995,37498,0
large-5.in,Hopcroft-Karp-Lin,74998,74995,37498,0
large-6.in,Khun,149998,149995,74998,6
large-6.in,Khun-Arb,149998,149995,74998,0
large-6.in,Khun-Rnd,149998,149995,74998,2
large-6.in,Dinic,149998,149995,74998,7
large-6.in,Dinic-Scaling,149998,149995,74998,6
large-6.in,Hopcroft-Karp,149998,149995,74998,0
large-6.in,Hopcroft-Karp-Lin,149998,149995,74998,0
large-7.in,Khun,224998,224995,112498,13
large-7.in,Khun-Arb,224998,224995,112498,1
large-7.in,Khun-Rnd,224998,224995,112498,3
large-7.in,Dinic,224998,224995,112498,24
large-7.in,Dinic-Scaling,224998,224995,112498,22
large-7.in,Hopcroft-Karp,224998,224995,112498,2
large-7.in,Hopcroft-Karp-Lin,224998,224995,112498,1
large-8.in,Khun,299998,299995,TLE,TLE
large-8.in,Khun-Arb,299998,299995,149998,0
large-8.in,Khun-Rnd,299998,299995,149998,5
large-8.in,Dinic,299998,299995,149998,19
large-8.in,Dinic-Scaling,299998,299995,149998,19
large-8.in,Hopcroft-Karp,299998,299995,149998,1
large-8.in,Hopcroft-Karp-Lin,299998,299995,149998,1
large-9.in,Khun,374998,374995,187498,33
large-9.in,Khun-Arb,374998,374995,187498,0
large-9.in,Khun-Rnd,374998,374995,187498,6
large-9.in,Dinic,374998,374995,187498,23
large-9.in,Dinic-Scaling,374998,374995,187498,29
large-9.in,Hopcroft-Karp,374998,374995,187498,1
large-9.in,Hopcroft-Karp-Lin,374998,374995,187498,3
layer-0.in,Khun,114688,159744,57344,550
layer-0.in,Khun-Arb,114688,159744,57344,37
layer-0.in,Khun-Rnd,114688,159744,57344,36
layer-0.in,Dinic,114688,159744,57344,88
layer-0.in,Dinic-Scaling,114688,159744,57344,88
layer-0.in,Hopcroft-Karp,114688,159744,57344,8
layer-0.in,Hopcroft-Karp-Lin,114688,159744,57344,3
layer-1.in,Khun,114688,159744,57344,1009
layer-1.in,Khun-Arb,114688,159744,57344,0
layer-1.in,Khun-Rnd,114688,159744,57344,34
layer-1.in,Dinic,114688,159744,57344,8
layer-1.in,Dinic-Scaling,114688,159744,57344,8
layer-1.in,Hopcroft-Karp,114688,159744,57344,1
layer-1.in,Hopcroft-Karp-Lin,114688,159744,57344,19
layer-2.in,Khun,114688,159744,57344,4
layer-2.in,Khun-Arb,114688,159744,57344,0
layer-2.in,Khun-Rnd,114688,159744,57344,37
layer-2.in,Dinic,114688,159744,57344,5
layer-2.in,Dinic-Scaling,114688,159744,57344,5
layer-2.in,Hopcroft-Karp,114688,159744,57344,0
layer-2.in,Hopcroft-Karp-Lin,114688,159744,57344,20
layer-3.in,Khun,114688,159744,57344,539
layer-3.in,Khun-Arb,114688,159744,57344,36
layer-3.in,Khun-Rnd,114688,159744,57344,38
layer-3.in,Dinic,114688,159744,57344,101
layer-3.in,Dinic-Scaling,114688,159744,57344,89
layer-3.in,Hopcroft-Karp,114688,159744,57344,8
layer-3.in,Hopcroft-Karp-Lin,114688,159744,57344,3
layer-4.in,Khun,114688,159744,57344,1034
layer-4.in,Khun-Arb,114688,159744,57344,1
layer-4.in,Khun-Rnd,114688,159744,57344,35
layer-4.in,Dinic,114688,159744,57344,9
layer-4.in,Dinic-Scaling,114688,159744,57344,8
layer-4.in,Hopcroft-Karp,114688,159744,57344,1
layer-4.in,Hopcroft-Karp-Lin,114688,159744,57344,18
line-0.in,Khun,20000,19999,10000,163
line-0.in,Khun-Arb,20000,19999,10000,0
line-0.in,Khun-Rnd,20000,19999,10000,0
line-0.in,Dinic,20000,19999,10000,0
line-0.in,Dinic-Scaling,20000,19999,10000,0
line-0.in,Hopcroft-Karp,20000,19999,10000,0
line-0.in,Hopcroft-Karp-Lin,20000,19999,10000,0
line-1.in,Khun,20000,19999,10000,164
line-1.in,Khun-Arb,20000,19999,10000,0
line-1.in,Khun-Rnd,20000,19999,10000,0
line-1.in,Dinic,20000,19999,10000,0
line-1.in,Dinic-Scaling,20000,19999,10000,0
line-1.in,Hopcroft-Karp,20000,19999,10000,0
line-1.in,Hopcroft-Karp-Lin,20000,19999,10000,0
line-2.in,Khun,100000,99999,TLE,TLE
line-2.in,Khun-Arb,100000,99999,50000,0
line-2.in,Khun-Rnd,100000,99999,50000,3
line-2.in,Dinic,100000,99999,50000,3
line-2.in,Dinic-Scaling,100000,99999,50000,4
line-2.in,Hopcroft-Karp,100000,99999,50000,0
line-2.in,Hopcroft-Karp-Lin,100000,99999,50000,0
line-3.in,Khun,100000,99999,TLE,TLE
line-3.in,Khun-Arb,100000,99999,50000,0
line-3.in,Khun-Rnd,100000,99999,50000,3
line-3.in,Dinic,100000,99999,50000,6
line-3.in,Dinic-Scaling,100000,99999,50000,6
line-3.in,Hopcroft-Karp,100000,99999,50000,0
line-3.in,Hopcroft-Karp-Lin,100000,99999,50000,0
line-4.in,Khun,200000,199999,TLE,TLE
line-4.in,Khun-Arb,200000,199999,100000,0
line-4.in,Khun-Rnd,200000,199999,100000,5
line-4.in,Dinic,200000,199999,100000,13
line-4.in,Dinic-Scaling,200000,199999,100000,14
line-4.in,Hopcroft-Karp,200000,199999,100000,1
line-4.in,Hopcroft-Karp-Lin,200000,199999,100000,1
line-5.in,Khun,200000,199999,TLE,TLE
line-5.in,Khun-Arb,200000,199999,100000,0
line-5.in,Khun-Rnd,200000,199999,100000,6
line-5.in,Dinic,200000,199999,100000,14
line-5.in,Dinic-Scaling,200000,199999,100000,18
line-5.in,Hopcroft-Karp,200000,199999,100000,1
line-5.in,Hopcroft-Karp-Lin,200000,199999,100000,1
line-6.in,Khun,400000,399999,TLE,TLE
line-6.in,Khun-Arb,400000,399999,200000,1
line-6.in,Khun-Rnd,400000,399999,200000,14
line-6.in,Dinic,400000,399999,200000,29
line-6.in,Dinic-Scaling,400000,399999,200000,30
line-6.in,Hopcroft-Karp,400000,399999,200000,2
line-6.in,Hopcroft-Karp-Lin,400000,399999,200000,2
line-7.in,Khun,400000,399999,TLE,TLE
line-7.in,Khun-Arb,400000,399999,200000,1
line-7.in,Khun-Rnd,400000,399999,200000,14
line-7.in,Dinic,400000,399999,200000,26
line-7.in,Dinic-Scaling,400000,399999,200000,31
line-7.in,Hopcroft-Karp,400000,399999,200000,2
line-7.in,Hopcroft-Karp-Lin,400000,399999,200000,2
linernd-0.in,Khun,20000,19999,10000,171
linernd-0.in,Khun-Arb,20000,19999,10000,0
linernd-0.in,Khun-Rnd,20000,19999,10000,0
linernd-0.in,Dinic,20000,19999,10000,0
linernd-0.in,Dinic-Scaling,20000,19999,10000,0
linernd-0.in,Hopcroft-Karp,20000,19999,10000,0
linernd-0.in,Hopcroft-Karp-Lin,20000,19999,10000,0
linernd-1.in,Khun,20000,19999,10000,169
linernd-1.in,Khun-Arb,20000,19999,10000,0
linernd-1.in,Khun-Rnd,20000,19999,10000,0
linernd-1.in,Dinic,20000,19999,10000,0
linernd-1.in,Dinic-Scaling,20000,19999,10000,0
linernd-1.in,Hopcroft-Karp,20000,19999,10000,0
linernd-1.in,Hopcroft-Karp-Lin,20000,19999,10000,0
linernd-2.in,Khun,100000,99999,50000,8
linernd-2.in,Khun-Arb,100000,99999,50000,3
linernd-2.in,Khun-Rnd,100000,99999,50000,6
linernd-2.in,Dinic,100000,99999,50000,370
linernd-2.in,Dinic-Scaling,100000,99999,50000,429
linernd-2.in,Hopcroft-Karp,100000,99999,50000,8
linernd-2.in,Hopcroft-Karp-Lin,100000,99999,50000,2
linernd-3.in,Khun,100000,99999,50000,9
linernd-3.in,Khun-Arb,100000,99999,50000,4
linernd-3.in,Khun-Rnd,100000,99999,50000,5
linernd-3.in,Dinic,100000,99999,50000,398
linernd-3.in,Dinic-Scaling,100000,99999,50000,457
linernd-3.in,Hopcroft-Karp,100000,99999,50000,9
linernd-3.in,Hopcroft-Karp-Lin,100000,99999,50000,3
linernd-4.in,Khun,200000,199999,100000,25
linernd-4.in,Khun-Arb,200000,199999,100000,9
linernd-4.in,Khun-Rnd,200000,199999,100000,10
linernd-4.in,Dinic,200000,199999,100000,1828
linernd-4.in,Dinic-Scaling,200000,199999,100000,1592
linernd-4.in,Hopcroft-Karp,200000,199999,100000,19
linernd-4.in,Hopcroft-Karp-Lin,200000,199999,100000,10
linernd-5.in,Khun,200000,199999,100000,23
linernd-5.in,Khun-Arb,200000,199999,100000,8
linernd-5.in,Khun-Rnd,200000,199999,100000,13
linernd-5.in,Dinic,200000,199999,100000,1804
linernd-5.in,Dinic-Scaling,200000,199999,100000,1596
linernd-5.in,Hopcroft-Karp,200000,199999,100000,18
linernd-5.in,Hopcroft-Karp-Lin,200000,199999,100000,9
linernd-6.in,Khun,400000,399999,200000,74
linernd-6.in,Khun-Arb,400000,399999,200000,24
linernd-6.in,Khun-Rnd,400000,399999,200000,24
linernd-6.in,Dinic,400000,399999,TLE,TLE
linernd-6.in,Dinic-Scaling,400000,399999,TLE,TLE
linernd-6.in,Hopcroft-Karp,400000,399999,200000,53
linernd-6.in,Hopcroft-Karp-Lin,400000,399999,200000,25
linernd-7.in,Khun,400000,399999,200000,69
linernd-7.in,Khun-Arb,400000,399999,200000,25
linernd-7.in,Khun-Rnd,400000,399999,200000,23
linernd-7.in,Dinic,400000,399999,TLE,TLE
linernd-7.in,Dinic-Scaling,400000,399999,TLE,TLE
linernd-7.in,Hopcroft-Karp,400000,399999,200000,49
linernd-7.in,Hopcroft-Karp-Lin,400000,399999,200000,16
loj6002-0.in,Khun,22,12,8,0
loj6002-0.in,Khun-Arb,22,12,8,0
loj6002-0.in,Khun-Rnd,22,12,8,0
loj6002-0.in,Dinic,22,12,8,0
loj6002-0.in,Dinic-Scaling,22,12,8,0
loj6002-0.in,Hopcroft-Karp,22,12,8,0
loj6002-0.in,Hopcroft-Karp-Lin,22,12,8,0
loj6002-1.in,Khun,294,5478,142,0
loj6002-1.in,Khun-Arb,294,5478,142,0
loj6002-1.in,Khun-Rnd,294,5478,142,0
loj6002-1.in,Dinic,294,5478,142,0
loj6002-1.in,Dinic-Scaling,294,5478,142,0
loj6002-1.in,Hopcroft-Karp,294,5478,142,0
loj6002-1.in,Hopcroft-Karp-Lin,294,5478,142,0
loj6002-10.in,Khun,140,247,54,0
loj6002-10.in,Khun-Arb,140,247,54,0
loj6002-10.in,Khun-Rnd,140,247,54,0
loj6002-10.in,Dinic,140,247,54,0
loj6002-10.in,Dinic-Scaling,140,247,54,0
loj6002-10.in,Hopcroft-Karp,140,247,54,0
loj6002-10.in,Hopcroft-Karp-Lin,140,247,54,0
loj6002-2.in,Khun,222,968,98,0
loj6002-2.in,Khun-Arb,222,968,98,0
loj6002-2.in,Khun-Rnd,222,968,98,0
loj6002-2.in,Dinic,222,968,98,0
loj6002-2.in,Dinic-Scaling,222,968,98,0
loj6002-2.in,Hopcroft-Karp,222,968,98,0
loj6002-2.in,Hopcroft-Karp-Lin,222,968,98,0
loj6002-3.in,Khun,90,501,41,0
loj6002-3.in,Khun-Arb,90,501,41,0
loj6002-3.in,Khun-Rnd,90,501,41,0
loj6002-3.in,Dinic,90,501,41,0
loj6002-3.in,Dinic-Scaling,90,501,41,0
loj6002-3.in,Hopcroft-Karp,90,501,41,0
loj6002-3.in,Hopcroft-Karp-Lin,90,501,41,0
loj6002-4.in,Khun,78,192,32,0
loj6002-4.in,Khun-Arb,78,192,32,0
loj6002-4.in,Khun-Rnd,78,192,32,0
loj6002-4.in,Dinic,78,192,32,0
loj6002-4.in,Dinic-Scaling,78,192,32,0
loj6002-4.in,Hopcroft-Karp,78,192,32,0
loj6002-4.in,Hopcroft-Karp-Lin,78,192,32,0
loj6002-5.in,Khun,58,132,25,0
loj6002-5.in,Khun-Arb,58,132,25,0
loj6002-5.in,Khun-Rnd,58,132,25,0
loj6002-5.in,Dinic,58,132,25,0
loj6002-5.in,Dinic-Scaling,58,132,25,0
loj6002-5.in,Hopcroft-Karp,58,132,25,0
loj6002-5.in,Hopcroft-Karp-Lin,58,132,25,0
loj6002-6.in,Khun,278,1479,126,0
loj6002-6.in,Khun-Arb,278,1479,126,0
loj6002-6.in,Khun-Rnd,278,1479,126,0
loj6002-6.in,Dinic,278,1479,126,0
loj6002-6.in,Dinic-Scaling,278,1479,126,0
loj6002-6.in,Hopcroft-Karp,278,1479,126,0
loj6002-6.in,Hopcroft-Karp-Lin,278,1479,126,0
loj6002-7.in,Khun,150,1662,71,0
loj6002-7.in,Khun-Arb,150,1662,71,0
loj6002-7.in,Khun-Rnd,150,1662,71,0
loj6002-7.in,Dinic,150,1662,71,0
loj6002-7.in,Dinic-Scaling,150,1662,71,0
loj6002-7.in,Hopcroft-Karp,150,1662,71,0
loj6002-7.in,Hopcroft-Karp-Lin,150,1662,71,0
loj6002-8.in,Khun,250,2466,119,0
